Date first seen              Src IP Addr:Port       Dst IP Addr:Port   In Byte Out Byte
2020-02-25 00:30:03.680,  192.168.250.27:61617,   192.168.250.1:53   ,     156,       0
2020-02-25 00:30:03.680,  192.168.250.27:61618,   192.168.250.1:53   ,     156,       0
2020-02-25 00:30:03.680,   192.168.250.1:53   ,  192.168.250.27:61617,     508,       0
2020-02-25 00:30:03.680,  192.168.250.27:61619,   192.168.250.1:53   ,     158,       0
2020-02-25 00:30:03.680,  192.168.250.27:61620,   192.168.250.1:53   ,     158,       0
2020-02-25 00:30:03.680,   192.168.250.1:53   ,  192.168.250.27:61618,     700,       0
2020-02-25 00:30:03.690,  192.168.250.27:61621,   192.168.250.1:53   ,     156,       0
2020-02-25 00:30:03.690,  192.168.250.27:61622,   192.168.250.1:53   ,     156,       0
2020-02-25 00:30:03.690,   192.168.250.1:53   ,  192.168.250.27:61620,     768,       0
2020-02-25 00:30:03.690,  192.168.250.27:61623,   192.168.250.1:53   ,     176,       0
2020-02-25 00:30:03.690,  192.168.250.27:61624,   192.168.250.1:53   ,     176,       0
2020-02-25 00:30:03.690,   192.168.250.1:53   ,  192.168.250.27:61619,     768,       0
2020-02-25 00:30:03.690,  192.168.250.27:61625,   192.168.250.1:53   ,     154,       0
2020-02-25 00:30:03.690,  192.168.250.27:61626,   192.168.250.1:53   ,     154,       0
2020-02-25 00:30:03.700,   192.168.250.1:53   ,  192.168.250.27:61622,     764,       0
2020-02-25 00:30:03.700,  192.168.250.27:61627,   192.168.250.1:53   ,     154,       0
2020-02-25 00:30:03.700,  192.168.250.27:61628,   192.168.250.1:53   ,     154,       0
2020-02-25 00:30:03.700,   192.168.250.1:53   ,  192.168.250.27:61621,     764,       0
2020-02-25 00:30:03.700,   192.168.250.1:53   ,  192.168.250.27:61624,     676,       0
2020-02-25 00:30:03.700,  192.168.250.27:61629,   192.168.250.1:53   ,     152,       0
2020-02-25 00:30:03.700,  192.168.250.27:61630,   192.168.250.1:53   ,     152,       0
2020-02-25 00:30:03.700,   192.168.250.1:53   ,  192.168.250.27:61623,     676,       0
2020-02-25 00:30:03.710,   192.168.250.1:53   ,  192.168.250.27:61626,     888,       0
2020-02-25 00:30:03.710,  192.168.250.27:61631,   192.168.250.1:53   ,     156,       0
2020-02-25 00:30:03.710,  192.168.250.27:61632,   192.168.250.1:53   ,     156,       0
2020-02-25 00:30:03.710,   192.168.250.1:53   ,  192.168.250.27:61625,     888,       0
2020-02-25 00:30:03.710,   192.168.250.1:53   ,  192.168.250.27:61628,     760,       0
2020-02-25 00:30:03.720,  192.168.250.27:61633,   192.168.250.1:53   ,     152,       0
2020-02-25 00:30:03.720,  192.168.250.27:61634,   192.168.250.1:53   ,     152,       0
2020-02-25 00:30:03.720,   192.168.250.1:53   ,  192.168.250.27:61627,     760,       0
2020-02-25 00:30:03.720,   192.168.250.1:53   ,  192.168.250.27:61630,     596,       0
2020-02-25 00:30:03.720,  192.168.250.27:61635,   192.168.250.1:53   ,     160,       0
2020-02-25 00:30:03.720,  192.168.250.27:61636,   192.168.250.1:53   ,     160,       0
2020-02-25 00:30:03.720,   192.168.250.1:53   ,  192.168.250.27:61629,     596,       0
2020-02-25 00:30:03.730,   192.168.250.1:53   ,  192.168.250.27:61632,     700,       0
2020-02-25 00:30:03.730,   192.168.250.1:53   ,  192.168.250.27:61631,     700,       0
2020-02-25 00:30:03.730,   192.168.250.1:53   ,  192.168.250.27:61634,     884,       0
2020-02-25 00:30:03.730,   192.168.250.1:53   ,  192.168.250.27:61633,     884,       0
2020-02-25 00:30:03.740,   192.168.250.1:53   ,  192.168.250.27:61636,     772,       0
2020-02-25 00:30:03.740,   192.168.250.1:53   ,  192.168.250.27:61635,     772,       0
2020-02-25 00:30:03.760,  192.168.250.27:50297,    81.19.104.45:443  ,     224,       0
2020-02-25 00:30:11.310,  192.168.250.27:65421,   192.168.250.1:53   ,     120,       0
2020-02-25 00:30:11.320,  192.168.250.27:49774,   192.168.250.1:53   ,     140,       0
2020-02-25 00:30:11.340,   192.168.250.1:53   ,  192.168.250.27:65421,     458,       0
2020-02-25 00:30:11.340,   192.168.250.1:53   ,  192.168.250.27:49774,     540,       0
2020-02-25 00:30:13.990,  192.168.250.27:59375,   192.168.250.1:53   ,     154,       0
2020-02-25 00:30:13.990,   192.168.250.1:53   ,  192.168.250.27:59375,     740,       0
2020-02-25 00:27:17.460,  192.168.250.27:50291,   68.232.34.200:443  ,    2713,       0
2020-02-25 00:30:21.120,  192.168.250.27:59107,   192.168.250.1:53   ,     150,       0
2020-02-25 00:30:21.120,   192.168.250.1:53   ,  192.168.250.27:59107,     468,       0
2020-02-25 00:30:11.560,  192.168.250.27:50300,    77.74.181.18:443  ,    1334,       0
2020-02-25 00:30:11.980,  192.168.250.27:50302,    77.74.181.18:443  ,     980,       0
